,S&P 500 10-Year Return,Feb 2022,Apr 2023
0,Dividend yield,1.4%,1.7%
1,Real dividend growth,1.2%,1.4%
2,Inflation,2.6%,3.2%
3,Mean reversion,-3.2%,-2.2%
4,Nominal 10-year return,Nominal 10-year return,Nominal 10-year return
5,No mean reversion (IRR),5.3%,6.4%
6,50% mean reversion,2.0%,4.1%
7,Real 10-year S&P return,Real 10-year S&P return,Real 10-year S&P return
8,No mean reversion (IRR),2.7%,3.1%
9,50% mean reversion,-0.6%,0.9%
10,10-Year Treasury return,10-Year Treasury return,10-Year Treasury return
11,Bond yield,1.8%,3.5%
12,Yield roll-down,0.1%,-0.2%
13,Nominal 10-year return,1.9%,3.3%
14,Real 10-year bond return,-0.7%,0.1%
15,ERP with no mean reversion,3.4%,3.1%
16,ERP with mean reversion,0.1%,0.7%
