,Earnings Series,N$_{Obs}$,X _,σ$_{x}$,Min,Max,Skew,Kurtosis
0,E$_{t}$$_{+1}$/E$_{t}$,95,1.088,0.331,0.22,3.43,3.5,24.2
1,E 3$_{t}$$_{+1}$ /E 3$_{t}$,95,1.064,0.184,0.49,1.53,-0.4,0.7
2,E 2$_{t}$$_{+1}$ /E 2$_{t}$,95,1.063,0.176,0.53,1.47,-0.3,0.5
3,E 1$_{t}$$_{+1}$ /E 1$_{t}$,95,1.061,0.170,0.65,1.48,0.0,0.2
4,E$_{t}$$_{+1}$/E 3$_{t}$,95,0.998,0.214,0.19,1.49,-0.9,1.8
5,E$_{t}$$_{+1}$/E 2$_{t}$,95,0.956,0.212,0.17,1.38,-1.0,1.6
6,E$_{t}$$_{+1}$/E 1$_{t}$,95,0.915,0.206,0.17,1.33,-1.0,1.4
7,OE$_{t}$$_{+1}$/OE$_{t}$,32,1.068,0.174,0.60,1.47,-0.6,0.8
8,OE 3$_{t}$$_{+1}$ /OE 3$_{t}$,32,1.066,0.152,0.69,1.38,-0.5,0.0
9,OE 2$_{t}$$_{+1}$ /OE 2$_{t}$,32,1.068,0.145,0.71,1.32,-0.7,0.2
10,OE 1$_{t}$$_{+1}$ /OE 1$_{t}$,32,1.068,0.143,0.71,1.28,-0.8,0.2
11,OE$_{t}$$_{+1}$/OE 3$_{t}$,32,1.031,0.168,0.55,1.34,-0.8,0.6
12,OE$_{t}$$_{+1}$/OE 2$_{t}$,32,1.011,0.162,0.53,1.27,-1.0,0.8
13,OE$_{t}$$_{+1}$/OE 1$_{t}$,32,0.991,0.156,0.51,1.22,-1.1,1.1
