,Category,Active (%).1999,Active (%).2009,Active (%).2015,Active (%).2021,Index (%).1999,Index (%).2009,Index (%).2015,Index (%).2021
0,US Equity,0.6,0.4,2.1,4.7,-,0.6,1.1,4.4
1,Large-Cap Blend,0.5,0.3,1.1,1.8,-,0.5,1.0,3.8
2,Large-Cap Growth,0.1,0.1,0.6,2.5,-,0.1,0.0,0.3
3,Large-Cap Value,0.0,0.0,0.2,0.2,-,0.0,0.1,0.3
4,Mid Cap,-,0.0,0.1,0.1,-,-,-,0.0
5,Small Cap,0.0,0.0,0.2,0.1,-,-,0.0,0.0
6,Global Equity,14.9,12.8,13.4,19.3,7.1,9.6,8.0,9.2
7,Large Cap,14.6,12.4,13.1,18.6,7.1,9.4,7.9,9.0
8,Mid/Small Cap,0.3,0.5,0.3,0.6,-,0.2,0.1,0.1
9,Sector Equity,9.8,12.4,19.1,15.6,1.0,5.8,6.9,6.8
10,Communications,2.8,0.0,0.0,0.4,-,0.0,0.0,0.0
11,Consumer Goods,0.0,0.4,0.4,0.7,-,0.0,0.2,0.1
12,Energy,0.0,0.5,0.2,0.2,-,0.3,0.4,0.1
13,Financials,-,0.1,0.0,0.1,-,0.7,0.2,0.1
14,Health Care,-,0.2,1.5,1.0,-,0.1,0.1,0.1
15,Industrials,0.0,0.2,0.1,0.4,-,0.2,0.1,0.0
16,Infrastructure,0.0,1.1,1.9,1.2,-,0.1,0.2,0.3
17,Natural Resources,0.2,0.8,0.3,0.2,-,-,0.0,0.0
18,Precious Metals,0.0,0.2,0.0,0.0,-,-,0.0,0.0
19,Property-Direct,-,-,-,-,-,-,-,0.0
20,Real Estate,3.3,6.2,12.8,5.3,1.0,4.1,5.7,3.7
21,Technology,3.4,0.6,0.9,5.5,-,0.2,0.1,2.3
22,Utilities,0.0,2.0,0.9,0.6,-,0.0,-,-
