,United States,Europe,Rest of the World (ROW)
0,United States,Andorra,Australia
1,,Austria,Bahamas
2,,Belgium,Bahrain
3,,Cyprus,Bermuda
4,,Czech Republic,Botswana
5,,Denmark,Brazil
6,,Estonia,British Virgin Islands
7,,Finland,Canada
8,,France,Cayman Islands
9,,Germany,Chile
10,,Gibraltar,"China, Mainland"
11,,Greece,Colombia
12,,Guernsey,Hong Kong SAR
13,,Iceland,India
14,,Ireland,Indonesia
15,,Isle of Man,Israel
16,,Italy,Japan
17,,Jersey,Kuwait
18,,Latvia,Lesotho
19,,Liechtenstein,Malaysia
20,,Lithuania,Mauritius
21,,Luxembourg,Mexico
22,,Malta,Namibia
23,,Monaco,New Zealand
24,,Netherlands,Oman
25,,Norway,Philippines
26,,Poland,Puerto Rico
