,0,1
0,Africa Equity,Industrials Sector Equity
1,Asia Equity,Infrastructure Sector Equity
2,Asia ex-Japan Equity,Japan Equity
3,Australia and New Zealand Equity,Korea Equity
4,Canadian Equity Large Cap,Latin America Equity
5,Commodities Specified,Long/Short Equity
6,Communications Sector Equity,Malaysia Equity
7,Consumer Goods & Services Sector Equity,Mexico Equity
8,Commodities Specified,Natural Resources Sector Equity
9,Energy Sector Equity,Precious Metals Sector Equity
10,Equity Miscellaneous,Real Estate Sector Equity
11,Europe Emerging Markets Equity,Technology Sector Equity
12,Europe Equity Large Cap,Thailand Equity
13,Europe Equity Mid/Small Cap,UK Equity Large Cap
14,Financials Sector Equity,UK Equity Mid/Small Cap
15,Global Emerging Markets Equity,US Equity Large-Cap Blend
16,Global Equity Large Cap,US Equity Large-Cap Growth
17,Global Equity Mid/Small Cap,US Equity Large-Cap Value
18,Greater China Equity,US Equity Mid Cap
19,Health Care Sector Equity,US Equity Small Cap
20,India Equity,Utilities Sector Equity
