,Category,Active (%).1999,Active (%).2009,Active (%).2015,Active (%).2021,Index (%).1999,Index (%).2009,Index (%).2015,Index (%).2021
0,US Equity,76.2,63.3,63.2,65.5,94.9,68.0,68.1,73.2
1,Large-Cap Blend,16.5,14.6,14.3,16.0,82.4,47.0,44.5,48.0
2,Large-Cap Growth,35.1,19.4,19.3,22.7,6.9,4.7,5.1,7.1
3,Large-Cap Value,14.1,13.5,14.0,11.8,1.5,3.9,5.4,6.1
4,Mid Cap,6.8,8.8,9.1,8.6,1.9,6.8,7.7,6.6
5,Small Cap,3.7,7.0,6.6,6.4,2.2,5.6,5.4,5.4
6,Global Equity,15.7,25.7,23.9,22.7,1.4,9.4,13.8,12.8
7,Large Cap,14.7,23.7,21.7,20.2,1.4,9.1,13.4,12.4
8,Mid/Small Cap,1.1,2.1,2.2,2.5,-,0.2,0.4,0.4
9,Sector Equity,6.0,5.5,7.0,5.8,0.4,8.5,9.9,8.9
10,Communications,0.3,0.1,0.1,0.1,-,0.1,0.1,0.2
11,Consumer Goods,0.0,0.1,0.1,0.1,-,0.6,1.2,0.7
12,Energy,0.1,0.6,0.6,0.3,-,1.0,1.1,0.6
13,Financials,0.5,0.2,0.2,0.1,-,0.9,1.1,0.9
14,Health Care,0.9,1.0,2.3,1.6,-,0.9,1.6,1.1
15,Industrials,0.0,0.0,0.1,0.1,-,0.4,0.3,0.4
16,Infrastructure,-,0.0,0.2,0.2,-,0.0,0.0,0.1
17,Natural Resources,0.1,0.7,0.3,0.1,-,0.8,0.3,0.4
18,Precious Metals,0.1,0.6,0.1,0.1,-,0.5,0.2,0.2
19,Property-Direct,-,-,-,-,-,-,-,-
