,Category.Emerging Markets.Regional Equity,Active (%).1999.2.7.74.8,Active (%).2009.9.5.54.7,Active (%).2015.6.8.50.8,Active (%).2021.6.0.35.6,Index (%).1999.-.93.0,Index (%).2009.5.3.67.2,Index (%).2015.6.1.53.7,Index (%).2021.7.4.33.2
0,Africa,0.0,0.2,0.1,0.0,-,0.1,0.0,0.0
1,Asia,2.0,0.9,0.5,0.4,-,0.2,0.2,0.3
2,Asia ex-Japan,2.4,5.2,4.1,3.7,0.5,2.6,2.1,1.7
3,Australia and New Zealand,0.5,0.1,0.0,0.0,-,0.1,0.1,0.0
4,Canada,0.1,0.0,0.0,0.0,-,0.3,0.3,0.3
5,Europe Large Cap,36.5,24.8,23.8,15.8,28.6,41.1,31.7,19.2
6,Europe Small Cap,3.5,4.1,4.8,4.8,0.7,1.3,1.5,1.0
7,Greater China,0.1,2.9,1.8,2.4,-,1.1,0.5,0.5
8,India,0.2,1.3,0.9,0.5,-,0.6,0.3,0.1
9,Japan,5.7,2.0,3.2,1.9,2.4,3.5,5.0,3.1
10,Korea,0.0,0.1,0.0,0.0,-,0.2,0.1,0.1
11,Latin America,0.4,1.7,0.3,0.2,-,1.2,0.1,0.1
12,Malaysia Equity,-,0.0,0.0,0.0,-,-,-,-
13,Mexico,-,-,0.0,0.0,-,-,0.0,0.0
14,Thailand,0.0,0.0,0.0,0.0,-,-,0.0,0.0
15,UK Equity Large Cap,21.6,10.4,9.9,4.7,60.8,14.8,11.2,6.3
16,UK Equity Mid/Small Cap,2.0,1.2,1.3,1.1,-,0.2,0.5,0.5
17,Miscellaneous,2.0,2.4,3.8,3.0,-,0.8,1.2,1.7
